,gt.ns,cx.ns,ex.cx,cx.tr,et.cx,cx.ss,ex.ss,cx.st
NP.agent.animate.V.off_of.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.off_of.NP,NP.agent.V.PP.location,NP.agent.V.off_of.NP.location,NP.animate.V.PP.concrete,NP.animate.V.off_of.NP.concrete,NP.agent.animate.V.PP.location.concrete
NP.agent.animate.V.off_of.NP.source,NP.V.PP.source,NP.V.PP,NP.V.off_of.NP,NP.agent.V.PP.source,NP.agent.V.off_of.NP.source,NP.animate.V.PP,NP.animate.V.off_of.NP,NP.agent.animate.V.PP.source
NP.agent.animate.V.on.NP.Conative.theme.concrete,NP.V.PP.Conative,NP.V.PP,NP.V.on.NP,NP.agent.V.PP.theme,NP.agent.V.on.NP.theme,NP.animate.V.PP.Conative.concrete,NP.animate.V.on.NP.Conative.concrete,NP.agent.animate.V.PP.Conative.theme.concrete
NP.agent.animate.V.on.NP.destination,NP.V.PP.destination,NP.V.PP,NP.V.on.NP,NP.agent.V.PP.destination,NP.agent.V.on.NP.destination,NP.animate.V.PP,NP.animate.V.on.NP,NP.agent.animate.V.PP.destination
NP.agent.animate.V.on.NP.destination.location.region.NP.theme.abstract.concrete,NP.V.PP.destination.NP,NP.V.PP.NP,NP.V.on.NP.NP,NP.agent.V.PP.destination.NP.theme,NP.agent.V.on.NP.destination.NP.theme,NP.animate.V.PP.location.region.NP.abstract.concrete,NP.animate.V.on.NP.location.region.NP.abstract.concrete,NP.agent.animate.V.PP.destination.location.region.NP.theme.abstract.concrete
NP.agent.animate.V.on.NP.location,NP.V.PP.location,NP.V.PP,NP.V.on.NP,NP.agent.V.PP.location,NP.agent.V.on.NP.location,NP.animate.V.PP,NP.animate.V.on.NP,NP.agent.animate.V.PP.location
NP.agent.animate.V.on.NP.location.for.NP.theme,NP.V.PP.location.PP.theme,NP.V.PP.PP,NP.V.on.NP.for.NP,NP.agent.V.PP.location.PP.theme,NP.agent.V.on.NP.location.for.NP.theme,NP.animate.V.PP.PP,NP.animate.V.on.NP.for.NP,NP.agent.animate.V.PP.location.PP.theme
NP.agent.animate.V.on.NP.location.location.region,NP.V.PP.location,NP.V.PP,NP.V.on.NP,NP.agent.V.PP.location,NP.agent.V.on.NP.location,NP.animate.V.PP.location.region,NP.animate.V.on.NP.location.region,NP.agent.animate.V.PP.location.location.region
NP.agent.animate.V.on.NP.patient.comestible,NP.V.PP.patient,NP.V.PP,NP.V.on.NP,NP.agent.V.PP.patient,NP.agent.V.on.NP.patient,NP.animate.V.PP.comestible,NP.animate.V.on.NP.comestible,NP.agent.animate.V.PP.patient.comestible
NP.agent.animate.V.on.NP.patient.comestible.solid,NP.V.PP.patient,NP.V.PP,NP.V.on.NP,NP.agent.V.PP.patient,NP.agent.V.on.NP.patient,NP.animate.V.PP.comestible.solid,NP.animate.V.on.NP.comestible.solid,NP.agent.animate.V.PP.patient.comestible.solid
NP.agent.animate.V.onto.NP.destination,NP.V.PP.destination,NP.V.PP,NP.V.onto.NP,NP.agent.V.PP.destination,NP.agent.V.onto.NP.destination,NP.animate.V.PP,NP.animate.V.onto.NP,NP.agent.animate.V.PP.destination
NP.agent.animate.V.onto.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.onto.NP,NP.agent.V.PP.location,NP.agent.V.onto.NP.location,NP.animate.V.PP.concrete,NP.animate.V.onto.NP.concrete,NP.agent.animate.V.PP.location.concrete
NP.agent.animate.V.opposite.NP.location,NP.V.PP.location,NP.V.PP,NP.V.opposite.NP,NP.agent.V.PP.location,NP.agent.V.opposite.NP.location,NP.animate.V.PP,NP.animate.V.opposite.NP,NP.agent.animate.V.PP.location
NP.agent.animate.V.opposite.NP.location.for.NP.theme,NP.V.PP.location.PP.theme,NP.V.PP.PP,NP.V.opposite.NP.for.NP,NP.agent.V.PP.location.PP.theme,NP.agent.V.opposite.NP.location.for.NP.theme,NP.animate.V.PP.PP,NP.animate.V.opposite.NP.for.NP,NP.agent.animate.V.PP.location.PP.theme
NP.agent.animate.V.opposite.NP.location.location.region,NP.V.PP.location,NP.V.PP,NP.V.opposite.NP,NP.agent.V.PP.location,NP.agent.V.opposite.NP.location,NP.animate.V.PP.location.region,NP.animate.V.opposite.NP.location.region,NP.agent.animate.V.PP.location.location.region
NP.agent.animate.V.out.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.out.NP,NP.agent.V.PP.location,NP.agent.V.out.NP.location,NP.animate.V.PP.concrete,NP.animate.V.out.NP.concrete,NP.agent.animate.V.PP.location.concrete
NP.agent.animate.V.out.NP.source,NP.V.PP.source,NP.V.PP,NP.V.out.NP,NP.agent.V.PP.source,NP.agent.V.out.NP.source,NP.animate.V.PP,NP.animate.V.out.NP,NP.agent.animate.V.PP.source
NP.agent.animate.V.out_of.NP.location,NP.V.PP.location,NP.V.PP,NP.V.out_of.NP,NP.agent.V.PP.location,NP.agent.V.out_of.NP.location,NP.animate.V.PP,NP.animate.V.out_of.NP,NP.agent.animate.V.PP.location
NP.agent.animate.V.out_of.NP.location.for.NP.theme,NP.V.PP.location.PP.theme,NP.V.PP.PP,NP.V.out_of.NP.for.NP,NP.agent.V.PP.location.PP.theme,NP.agent.V.out_of.NP.location.for.NP.theme,NP.animate.V.PP.PP,NP.animate.V.out_of.NP.for.NP,NP.agent.animate.V.PP.location.PP.theme
NP.agent.animate.V.out_of.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.out_of.NP,NP.agent.V.PP.location,NP.agent.V.out_of.NP.location,NP.animate.V.PP.concrete,NP.animate.V.out_of.NP.concrete,NP.agent.animate.V.PP.location.concrete
NP.agent.animate.V.out_of.NP.location.location.region,NP.V.PP.location,NP.V.PP,NP.V.out_of.NP,NP.agent.V.PP.location,NP.agent.V.out_of.NP.location,NP.animate.V.PP.location.region,NP.animate.V.out_of.NP.location.region,NP.agent.animate.V.PP.location.location.region
NP.agent.animate.V.out_of.NP.source,NP.V.PP.source,NP.V.PP,NP.V.out_of.NP,NP.agent.V.PP.source,NP.agent.V.out_of.NP.source,NP.animate.V.PP,NP.animate.V.out_of.NP,NP.agent.animate.V.PP.source
NP.agent.animate.V.outside.NP.location,NP.V.PP.location,NP.V.PP,NP.V.outside.NP,NP.agent.V.PP.location,NP.agent.V.outside.NP.location,NP.animate.V.PP,NP.animate.V.outside.NP,NP.agent.animate.V.PP.location
NP.agent.animate.V.outside.NP.location.for.NP.theme,NP.V.PP.location.PP.theme,NP.V.PP.PP,NP.V.outside.NP.for.NP,NP.agent.V.PP.location.PP.theme,NP.agent.V.outside.NP.location.for.NP.theme,NP.animate.V.PP.PP,NP.animate.V.outside.NP.for.NP,NP.agent.animate.V.PP.location.PP.theme
NP.agent.animate.V.outside.NP.location.location.region,NP.V.PP.location,NP.V.PP,NP.V.outside.NP,NP.agent.V.PP.location,NP.agent.V.outside.NP.location,NP.animate.V.PP.location.region,NP.animate.V.outside.NP.location.region,NP.agent.animate.V.PP.location.location.region
NP.agent.animate.V.over.NP.location,NP.V.PP.location,NP.V.PP,NP.V.over.NP,NP.agent.V.PP.location,NP.agent.V.over.NP.location,NP.animate.V.PP,NP.animate.V.over.NP,NP.agent.animate.V.PP.location
NP.agent.animate.V.over.NP.location.for.NP.theme,NP.V.PP.location.PP.theme,NP.V.PP.PP,NP.V.over.NP.for.NP,NP.agent.V.PP.location.PP.theme,NP.agent.V.over.NP.location.for.NP.theme,NP.animate.V.PP.PP,NP.animate.V.over.NP.for.NP,NP.agent.animate.V.PP.location.PP.theme
NP.agent.animate.V.over.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.over.NP,NP.agent.V.PP.location,NP.agent.V.over.NP.location,NP.animate.V.PP.concrete,NP.animate.V.over.NP.concrete,NP.agent.animate.V.PP.location.concrete
NP.agent.animate.V.over.NP.location.location.region,NP.V.PP.location,NP.V.PP,NP.V.over.NP,NP.agent.V.PP.location,NP.agent.V.over.NP.location,NP.animate.V.PP.location.region,NP.animate.V.over.NP.location.region,NP.agent.animate.V.PP.location.location.region
NP.agent.animate.V.over.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.over.NP,NP.agent.V.PP.theme,NP.agent.V.over.NP.theme,NP.animate.V.PP,NP.animate.V.over.NP,NP.agent.animate.V.PP.theme
NP.agent.animate.V.over.NP.trajectory,NP.V.PP.trajectory,NP.V.PP,NP.V.over.NP,NP.agent.V.PP.trajectory,NP.agent.V.over.NP.trajectory,NP.animate.V.PP,NP.animate.V.over.NP,NP.agent.animate.V.PP.trajectory
NP.agent.animate.V.past.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.past.NP,NP.agent.V.PP.location,NP.agent.V.past.NP.location,NP.animate.V.PP.concrete,NP.animate.V.past.NP.concrete,NP.agent.animate.V.PP.location.concrete
NP.agent.animate.V.past.NP.trajectory,NP.V.PP.trajectory,NP.V.PP,NP.V.past.NP,NP.agent.V.PP.trajectory,NP.agent.V.past.NP.trajectory,NP.animate.V.PP,NP.animate.V.past.NP,NP.agent.animate.V.PP.trajectory
NP.agent.animate.V.round.NP.location,NP.V.PP.location,NP.V.PP,NP.V.round.NP,NP.agent.V.PP.location,NP.agent.V.round.NP.location,NP.animate.V.PP,NP.animate.V.round.NP,NP.agent.animate.V.PP.location
NP.agent.animate.V.round.NP.location.for.NP.theme,NP.V.PP.location.PP.theme,NP.V.PP.PP,NP.V.round.NP.for.NP,NP.agent.V.PP.location.PP.theme,NP.agent.V.round.NP.location.for.NP.theme,NP.animate.V.PP.PP,NP.animate.V.round.NP.for.NP,NP.agent.animate.V.PP.location.PP.theme
NP.agent.animate.V.round.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.round.NP,NP.agent.V.PP.location,NP.agent.V.round.NP.location,NP.animate.V.PP.concrete,NP.animate.V.round.NP.concrete,NP.agent.animate.V.PP.location.concrete
NP.agent.animate.V.round.NP.location.location.region,NP.V.PP.location,NP.V.PP,NP.V.round.NP,NP.agent.V.PP.location,NP.agent.V.round.NP.location,NP.animate.V.PP.location.region,NP.animate.V.round.NP.location.region,NP.agent.animate.V.PP.location.location.region
NP.agent.animate.V.round.NP.trajectory,NP.V.PP.trajectory,NP.V.PP,NP.V.round.NP,NP.agent.V.PP.trajectory,NP.agent.V.round.NP.trajectory,NP.animate.V.PP,NP.animate.V.round.NP,NP.agent.animate.V.PP.trajectory
NP.agent.animate.V.that.S.theme,NP.V.that.S,NP.V.comp.S,NP.V.that.S,NP.agent.V.comp.S.theme,NP.agent.V.that.S.theme,NP.animate.V.that.S,NP.animate.V.that.S,NP.agent.animate.V.that.S.theme
NP.agent.animate.V.that.S.topic,NP.V.that.S,NP.V.comp.S,NP.V.that.S,NP.agent.V.comp.S.topic,NP.agent.V.that.S.topic,NP.animate.V.that.S,NP.animate.V.that.S,NP.agent.animate.V.that.S.topic
NP.agent.animate.V.through.NP.location,NP.V.PP.location,NP.V.PP,NP.V.through.NP,NP.agent.V.PP.location,NP.agent.V.through.NP.location,NP.animate.V.PP,NP.animate.V.through.NP,NP.agent.animate.V.PP.location
NP.agent.animate.V.through.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.through.NP,NP.agent.V.PP.location,NP.agent.V.through.NP.location,NP.animate.V.PP.concrete,NP.animate.V.through.NP.concrete,NP.agent.animate.V.PP.location.concrete
NP.agent.animate.V.through.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.through.NP,NP.agent.V.PP.theme,NP.agent.V.through.NP.theme,NP.animate.V.PP,NP.animate.V.through.NP,NP.agent.animate.V.PP.theme
NP.agent.animate.V.through.NP.trajectory,NP.V.PP.trajectory,NP.V.PP,NP.V.through.NP,NP.agent.V.PP.trajectory,NP.agent.V.through.NP.trajectory,NP.animate.V.PP,NP.animate.V.through.NP,NP.agent.animate.V.PP.trajectory
NP.agent.animate.V.throughout.NP.location,NP.V.PP.location,NP.V.PP,NP.V.throughout.NP,NP.agent.V.PP.location,NP.agent.V.throughout.NP.location,NP.animate.V.PP,NP.animate.V.throughout.NP,NP.agent.animate.V.PP.location
NP.agent.animate.V.throughout.NP.location.for.NP.theme,NP.V.PP.location.PP.theme,NP.V.PP.PP,NP.V.throughout.NP.for.NP,NP.agent.V.PP.location.PP.theme,NP.agent.V.throughout.NP.location.for.NP.theme,NP.animate.V.PP.PP,NP.animate.V.throughout.NP.for.NP,NP.agent.animate.V.PP.location.PP.theme
NP.agent.animate.V.throughout.NP.location.location.region,NP.V.PP.location,NP.V.PP,NP.V.throughout.NP,NP.agent.V.PP.location,NP.agent.V.throughout.NP.location,NP.animate.V.PP.location.region,NP.animate.V.throughout.NP.location.region,NP.agent.animate.V.PP.location.location.region
NP.agent.animate.V.to.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.to.NP,NP.agent.V.PP.location,NP.agent.V.to.NP.location,NP.animate.V.PP.concrete,NP.animate.V.to.NP.concrete,NP.agent.animate.V.PP.location.concrete
NP.agent.animate.V.to.NP.recipient.animate,NP.V.PP.recipient,NP.V.PP,NP.V.to.NP,NP.agent.V.PP.recipient,NP.agent.V.to.NP.recipient,NP.animate.V.PP.animate,NP.animate.V.to.NP.animate,NP.agent.animate.V.PP.recipient.animate
NP.agent.animate.V.towards.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.towards.NP,NP.agent.V.PP.location,NP.agent.V.towards.NP.location,NP.animate.V.PP.concrete,NP.animate.V.towards.NP.concrete,NP.agent.animate.V.PP.location.concrete
NP.agent.animate.V.towards.NP.recipient.animate,NP.V.PP.recipient,NP.V.PP,NP.V.towards.NP,NP.agent.V.PP.recipient,NP.agent.V.towards.NP.recipient,NP.animate.V.PP.animate,NP.animate.V.towards.NP.animate,NP.agent.animate.V.PP.recipient.animate
NP.agent.animate.V.towards.NP.trajectory,NP.V.PP.trajectory,NP.V.PP,NP.V.towards.NP,NP.agent.V.PP.trajectory,NP.agent.V.towards.NP.trajectory,NP.animate.V.PP,NP.animate.V.towards.NP,NP.agent.animate.V.PP.trajectory
NP.agent.animate.V.under.NP.location,NP.V.PP.location,NP.V.PP,NP.V.under.NP,NP.agent.V.PP.location,NP.agent.V.under.NP.location,NP.animate.V.PP,NP.animate.V.under.NP,NP.agent.animate.V.PP.location
NP.agent.animate.V.under.NP.location.for.NP.theme,NP.V.PP.location.PP.theme,NP.V.PP.PP,NP.V.under.NP.for.NP,NP.agent.V.PP.location.PP.theme,NP.agent.V.under.NP.location.for.NP.theme,NP.animate.V.PP.PP,NP.animate.V.under.NP.for.NP,NP.agent.animate.V.PP.location.PP.theme
NP.agent.animate.V.under.NP.location.location.region,NP.V.PP.location,NP.V.PP,NP.V.under.NP,NP.agent.V.PP.location,NP.agent.V.under.NP.location,NP.animate.V.PP.location.region,NP.animate.V.under.NP.location.region,NP.agent.animate.V.PP.location.location.region
NP.agent.animate.V.underneath.NP.location,NP.V.PP.location,NP.V.PP,NP.V.underneath.NP,NP.agent.V.PP.location,NP.agent.V.underneath.NP.location,NP.animate.V.PP,NP.animate.V.underneath.NP,NP.agent.animate.V.PP.location
NP.agent.animate.V.underneath.NP.location.for.NP.theme,NP.V.PP.location.PP.theme,NP.V.PP.PP,NP.V.underneath.NP.for.NP,NP.agent.V.PP.location.PP.theme,NP.agent.V.underneath.NP.location.for.NP.theme,NP.animate.V.PP.PP,NP.animate.V.underneath.NP.for.NP,NP.agent.animate.V.PP.location.PP.theme
NP.agent.animate.V.underneath.NP.location.location.region,NP.V.PP.location,NP.V.PP,NP.V.underneath.NP,NP.agent.V.PP.location,NP.agent.V.underneath.NP.location,NP.animate.V.PP.location.region,NP.animate.V.underneath.NP.location.region,NP.agent.animate.V.PP.location.location.region
NP.agent.animate.V.up.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.up.NP,NP.agent.V.PP.location,NP.agent.V.up.NP.location,NP.animate.V.PP.concrete,NP.animate.V.up.NP.concrete,NP.agent.animate.V.PP.location.concrete
NP.agent.animate.V.up.NP.trajectory,NP.V.PP.trajectory,NP.V.PP,NP.V.up.NP,NP.agent.V.PP.trajectory,NP.agent.V.up.NP.trajectory,NP.animate.V.PP,NP.animate.V.up.NP,NP.agent.animate.V.PP.trajectory
NP.agent.animate.V.upon.NP.destination.location.region.NP.theme.abstract.concrete,NP.V.PP.destination.NP,NP.V.PP.NP,NP.V.upon.NP.NP,NP.agent.V.PP.destination.NP.theme,NP.agent.V.upon.NP.destination.NP.theme,NP.animate.V.PP.location.region.NP.abstract.concrete,NP.animate.V.upon.NP.location.region.NP.abstract.concrete,NP.agent.animate.V.PP.destination.location.region.NP.theme.abstract.concrete
NP.agent.animate.V.upon.NP.location,NP.V.PP.location,NP.V.PP,NP.V.upon.NP,NP.agent.V.PP.location,NP.agent.V.upon.NP.location,NP.animate.V.PP,NP.animate.V.upon.NP,NP.agent.animate.V.PP.location
NP.agent.animate.V.upon.NP.location.for.NP.theme,NP.V.PP.location.PP.theme,NP.V.PP.PP,NP.V.upon.NP.for.NP,NP.agent.V.PP.location.PP.theme,NP.agent.V.upon.NP.location.for.NP.theme,NP.animate.V.PP.PP,NP.animate.V.upon.NP.for.NP,NP.agent.animate.V.PP.location.PP.theme
NP.agent.animate.V.upon.NP.location.location.region,NP.V.PP.location,NP.V.PP,NP.V.upon.NP,NP.agent.V.PP.location,NP.agent.V.upon.NP.location,NP.animate.V.PP.location.region,NP.animate.V.upon.NP.location.region,NP.agent.animate.V.PP.location.location.region
NP.agent.animate.V.what.S.theme,NP.V.what.S,NP.V.comp.S,NP.V.what.S,NP.agent.V.comp.S.theme,NP.agent.V.what.S.theme,NP.animate.V.what.S,NP.animate.V.what.S,NP.agent.animate.V.what.S.theme
NP.agent.animate.V.what.S_INF.theme,NP.V.what.S_INF,NP.V.comp.S,NP.V.what.S,NP.agent.V.comp.S.theme,NP.agent.V.what.S.theme,NP.animate.V.what.S,NP.animate.V.what.S_INF,NP.agent.animate.V.what.S_INF.theme
NP.agent.animate.V.whether.if.S.theme,NP.V.whether.if.S,NP.V.comp.S,NP.V.whether.if.S,NP.agent.V.comp.S.theme,NP.agent.V.whether.if.S.theme,NP.animate.V.whether.if.S,NP.animate.V.whether.if.S,NP.agent.animate.V.whether.if.S.theme
NP.agent.animate.V.whether.if.S_INF.theme,NP.V.whether.if.S_INF,NP.V.comp.S,NP.V.whether.if.S,NP.agent.V.comp.S.theme,NP.agent.V.whether.if.S.theme,NP.animate.V.whether.if.S,NP.animate.V.whether.if.S_INF,NP.agent.animate.V.whether.if.S_INF.theme
NP.agent.animate.V.with.NP.co.agent.animate,NP.V.PP.co.agent,NP.V.PP,NP.V.with.NP,NP.agent.V.PP.co.agent,NP.agent.V.with.NP.co.agent,NP.animate.V.PP.animate,NP.animate.V.with.NP.animate,NP.agent.animate.V.PP.co.agent.animate
NP.agent.animate.V.with.NP.instrument,NP.V.PP.instrument,NP.V.PP,NP.V.with.NP,NP.agent.V.PP.instrument,NP.agent.V.with.NP.instrument,NP.animate.V.PP,NP.animate.V.with.NP,NP.agent.animate.V.PP.instrument
NP.agent.animate.V.with.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.with.NP,NP.agent.V.PP.theme,NP.agent.V.with.NP.theme,NP.animate.V.PP,NP.animate.V.with.NP,NP.agent.animate.V.PP.theme
NP.agent.animate.V.within.NP.location,NP.V.PP.location,NP.V.PP,NP.V.within.NP,NP.agent.V.PP.location,NP.agent.V.within.NP.location,NP.animate.V.PP,NP.animate.V.within.NP,NP.agent.animate.V.PP.location
NP.agent.animate.V.within.NP.location.for.NP.theme,NP.V.PP.location.PP.theme,NP.V.PP.PP,NP.V.within.NP.for.NP,NP.agent.V.PP.location.PP.theme,NP.agent.V.within.NP.location.for.NP.theme,NP.animate.V.PP.PP,NP.animate.V.within.NP.for.NP,NP.agent.animate.V.PP.location.PP.theme
NP.agent.animate.V.within.NP.location.location.region,NP.V.PP.location,NP.V.PP,NP.V.within.NP,NP.agent.V.PP.location,NP.agent.V.within.NP.location,NP.animate.V.PP.location.region,NP.animate.V.within.NP.location.region,NP.agent.animate.V.PP.location.location.region
NP.agent.animate.organization.V,NP.V,NP.V,NP.V,NP.agent.V,NP.agent.V,NP.animate.organization.V,NP.animate.organization.V,NP.agent.animate.organization.V
NP.agent.animate.organization.V.NP.asset.currency,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.asset,NP.agent.V.NP.asset,NP.animate.organization.V.NP.currency,NP.animate.organization.V.NP.currency,NP.agent.animate.organization.V.NP.asset.currency
NP.agent.animate.organization.V.NP.asset.currency.for.NP.theme,NP.V.NP.PP.theme,NP.V.NP.PP,NP.V.NP.for.NP,NP.agent.V.NP.asset.PP.theme,NP.agent.V.NP.asset.for.NP.theme,NP.animate.organization.V.NP.currency.PP,NP.animate.organization.V.NP.currency.for.NP,NP.agent.animate.organization.V.NP.asset.currency.PP.theme
NP.agent.animate.organization.V.NP.recipient.NP.asset.currency,NP.V.NP.NP,NP.V.NP.NP,NP.V.NP.NP,NP.agent.V.NP.recipient.NP.asset,NP.agent.V.NP.recipient.NP.asset,NP.animate.organization.V.NP.NP.currency,NP.animate.organization.V.NP.NP.currency,NP.agent.animate.organization.V.NP.recipient.NP.asset.currency
NP.agent.animate.organization.V.NP.recipient.NP.asset.currency.for.NP.theme,NP.V.NP.NP.PP.theme,NP.V.NP.NP.PP,NP.V.NP.NP.for.NP,NP.agent.V.NP.recipient.NP.asset.PP.theme,NP.agent.V.NP.recipient.NP.asset.for.NP.theme,NP.animate.organization.V.NP.NP.currency.PP,NP.animate.organization.V.NP.NP.currency.for.NP,NP.agent.animate.organization.V.NP.recipient.NP.asset.currency.PP.theme
NP.agent.animate.organization.V.NP.theme,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.theme,NP.agent.V.NP.theme,NP.animate.organization.V.NP,NP.animate.organization.V.NP,NP.agent.animate.organization.V.NP.theme
NP.agent.animate.organization.V.from.NP.source,NP.V.PP.source,NP.V.PP,NP.V.from.NP,NP.agent.V.PP.source,NP.agent.V.from.NP.source,NP.animate.organization.V.PP,NP.animate.organization.V.from.NP,NP.agent.animate.organization.V.PP.source
NP.agent.animate.organization.V.from.NP.source.S_ING,NP.V.PP.source.S_ING,NP.V.PP.S,NP.V.from.NP.S,NP.agent.V.PP.source.S,NP.agent.V.from.NP.source.S,NP.animate.organization.V.PP.S,NP.animate.organization.V.from.NP.S_ING,NP.agent.animate.organization.V.PP.source.S_ING
NP.agent.animate.organization.V.of.NP.source,NP.V.PP.source,NP.V.PP,NP.V.of.NP,NP.agent.V.PP.source,NP.agent.V.of.NP.source,NP.animate.organization.V.PP,NP.animate.organization.V.of.NP,NP.agent.animate.organization.V.PP.source
NP.agent.animate.organization.V.of.NP.source.S_ING,NP.V.PP.source.S_ING,NP.V.PP.S,NP.V.of.NP.S,NP.agent.V.PP.source.S,NP.agent.V.of.NP.source.S,NP.animate.organization.V.PP.S,NP.animate.organization.V.of.NP.S_ING,NP.agent.animate.organization.V.PP.source.S_ING
NP.agent.animate.organization.V.that.S.theme,NP.V.that.S,NP.V.comp.S,NP.V.that.S,NP.agent.V.comp.S.theme,NP.agent.V.that.S.theme,NP.animate.organization.V.that.S,NP.animate.organization.V.that.S,NP.agent.animate.organization.V.that.S.theme
NP.agent.animate.organization.V.to.NP.destination.theme,NP.V.PP.destination,NP.V.PP,NP.V.to.NP,NP.agent.V.PP.theme,NP.agent.V.to.NP.theme,NP.animate.organization.V.PP,NP.animate.organization.V.to.NP,NP.agent.animate.organization.V.PP.destination.theme
NP.agent.concrete.organization.V.NP.destination.location,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.destination,NP.agent.V.NP.destination,NP.concrete.organization.V.NP.location,NP.concrete.organization.V.NP.location,NP.agent.concrete.organization.V.NP.destination.location
NP.agent.human.V.NP.theme,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.theme,NP.agent.V.NP.theme,NP.human.V.NP,NP.human.V.NP,NP.agent.human.V.NP.theme
NP.agent.human.V.NP.theme.as.NP.attribute,NP.V.NP.PP.attribute,NP.V.NP.PP,NP.V.NP.as.NP,NP.agent.V.NP.theme.PP.attribute,NP.agent.V.NP.theme.as.NP.attribute,NP.human.V.NP.PP,NP.human.V.NP.as.NP,NP.agent.human.V.NP.theme.PP.attribute
NP.agent.human.V.NP.theme.for.NP.attribute,NP.V.NP.PP.attribute,NP.V.NP.PP,NP.V.NP.for.NP,NP.agent.V.NP.theme.PP.attribute,NP.agent.V.NP.theme.for.NP.attribute,NP.human.V.NP.PP,NP.human.V.NP.for.NP,NP.agent.human.V.NP.theme.PP.attribute
NP.agent.human.V.NP.theme.to.be.NP.attribute,NP.V.NP.to.be.NP,NP.V.NP.to.be.NP,NP.V.NP.to.be.NP,NP.agent.V.NP.theme.to.be.NP.attribute,NP.agent.V.NP.theme.to.be.NP.attribute,NP.human.V.NP.to.be.NP,NP.human.V.NP.to.be.NP,NP.agent.human.V.NP.theme.to.be.NP.attribute
NP.agent.int_control.V,NP.V,NP.V,NP.V,NP.agent.V,NP.agent.V,NP.int_control.V,NP.int_control.V,NP.agent.int_control.V
NP.agent.int_control.V.NP.Dative.destination.OR..animate.location.region..animate.location.region.NP.theme.concrete,NP.V.NP.Dative.NP,NP.V.NP.NP,NP.V.NP.NP,NP.agent.V.NP.destination.NP.theme,NP.agent.V.NP.destination.NP.theme,NP.int_control.V.NP.Dative.OR..animate.location.region..animate.location.region.NP.concrete,NP.int_control.V.NP.Dative.OR..animate.location.region..animate.location.region.NP.concrete,NP.agent.int_control.V.NP.Dative.destination.OR..animate.location.region..animate.location.region.NP.theme.concrete
NP.agent.int_control.V.NP.Dative.destination.animate.NP.theme.concrete,NP.V.NP.Dative.NP,NP.V.NP.NP,NP.V.NP.NP,NP.agent.V.NP.destination.NP.theme,NP.agent.V.NP.destination.NP.theme,NP.int_control.V.NP.Dative.animate.NP.concrete,NP.int_control.V.NP.Dative.animate.NP.concrete,NP.agent.int_control.V.NP.Dative.destination.animate.NP.theme.concrete
NP.agent.int_control.V.NP.destination.OR..animate.location.region..animate.location.region.NP.theme.concrete,NP.V.NP.NP,NP.V.NP.NP,NP.V.NP.NP,NP.agent.V.NP.destination.NP.theme,NP.agent.V.NP.destination.NP.theme,NP.int_control.V.NP.OR..animate.location.region..animate.location.region.NP.concrete,NP.int_control.V.NP.OR..animate.location.region..animate.location.region.NP.concrete,NP.agent.int_control.V.NP.destination.OR..animate.location.region..animate.location.region.NP.theme.concrete
NP.agent.int_control.V.NP.destination.concrete,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.destination,NP.agent.V.NP.destination,NP.int_control.V.NP.concrete,NP.int_control.V.NP.concrete,NP.agent.int_control.V.NP.destination.concrete
NP.agent.int_control.V.NP.destination.concrete.with.NP.theme,NP.V.NP.destination.PP.theme,NP.V.NP.PP,NP.V.NP.with.NP,NP.agent.V.NP.destination.PP.theme,NP.agent.V.NP.destination.with.NP.theme,NP.int_control.V.NP.concrete.PP,NP.int_control.V.NP.concrete.with.NP,NP.agent.int_control.V.NP.destination.concrete.PP.theme
NP.agent.int_control.V.NP.destination.concrete.with.NP.theme.concrete,NP.V.NP.PP.theme,NP.V.NP.PP,NP.V.NP.with.NP,NP.agent.V.NP.destination.PP.theme,NP.agent.V.NP.destination.with.NP.theme,NP.int_control.V.NP.concrete.PP.concrete,NP.int_control.V.NP.concrete.with.NP.concrete,NP.agent.int_control.V.NP.destination.concrete.PP.theme.concrete
