,gt.ns,cx.ns,ex.cx,cx.tr,et.cx,cx.ss,ex.ss,cx.st
NP.agent.OR..animate.machine..V.NP.product.for.NP.beneficiary.OR..animate.organization.,NP.V.NP.PP.beneficiary,NP.V.NP.PP,NP.V.NP.for.NP,NP.agent.V.NP.product.PP.beneficiary,NP.agent.V.NP.product.for.NP.beneficiary,NP.OR..animate.machine..V.NP.PP.OR..animate.organization.,NP.OR..animate.machine..V.NP.for.NP.OR..animate.organization.,NP.agent.OR..animate.machine..V.NP.product.PP.beneficiary.OR..animate.organization.
NP.agent.OR..animate.machine..V.NP.product.from.NP.material.concrete,NP.V.NP.product.PP.material,NP.V.NP.PP,NP.V.NP.from.NP,NP.agent.V.NP.product.PP.material,NP.agent.V.NP.product.from.NP.material,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.from.NP.concrete,NP.agent.OR..animate.machine..V.NP.product.PP.material.concrete
NP.agent.OR..animate.machine..V.NP.product.from.NP.material.concrete.for.NP.asset.currency,NP.V.NP.PP.material.PP.asset,NP.V.NP.PP.PP,NP.V.NP.from.NP.for.NP,NP.agent.V.NP.product.PP.material.PP.asset,NP.agent.V.NP.product.from.NP.material.for.NP.asset,NP.OR..animate.machine..V.NP.PP.concrete.PP.currency,NP.OR..animate.machine..V.NP.from.NP.concrete.for.NP.currency,NP.agent.OR..animate.machine..V.NP.product.PP.material.concrete.PP.asset.currency
NP.agent.OR..animate.machine..V.NP.product.from.NP.material.concrete.for.NP.beneficiary.OR..animate.organization.,NP.V.NP.PP.material.PP.beneficiary,NP.V.NP.PP.PP,NP.V.NP.from.NP.for.NP,NP.agent.V.NP.product.PP.material.PP.beneficiary,NP.agent.V.NP.product.from.NP.material.for.NP.beneficiary,NP.OR..animate.machine..V.NP.PP.concrete.PP.OR..animate.organization.,NP.OR..animate.machine..V.NP.from.NP.concrete.for.NP.OR..animate.organization.,NP.agent.OR..animate.machine..V.NP.product.PP.material.concrete.PP.beneficiary.OR..animate.organization.
NP.agent.OR..animate.machine..V.NP.product.out_of.NP.material.concrete,NP.V.NP.product.PP.material,NP.V.NP.PP,NP.V.NP.out_of.NP,NP.agent.V.NP.product.PP.material,NP.agent.V.NP.product.out_of.NP.material,NP.OR..animate.machine..V.NP.PP.concrete,NP.OR..animate.machine..V.NP.out_of.NP.concrete,NP.agent.OR..animate.machine..V.NP.product.PP.material.concrete
NP.agent.OR..animate.machine..V.NP.product.out_of.NP.material.concrete.for.NP.asset.currency,NP.V.NP.PP.material.PP.asset,NP.V.NP.PP.PP,NP.V.NP.out_of.NP.for.NP,NP.agent.V.NP.product.PP.material.PP.asset,NP.agent.V.NP.product.out_of.NP.material.for.NP.asset,NP.OR..animate.machine..V.NP.PP.concrete.PP.currency,NP.OR..animate.machine..V.NP.out_of.NP.concrete.for.NP.currency,NP.agent.OR..animate.machine..V.NP.product.PP.material.concrete.PP.asset.currency
NP.agent.OR..animate.machine..V.NP.product.out_of.NP.material.concrete.for.NP.beneficiary.OR..animate.organization.,NP.V.NP.PP.material.PP.beneficiary,NP.V.NP.PP.PP,NP.V.NP.out_of.NP.for.NP,NP.agent.V.NP.product.PP.material.PP.beneficiary,NP.agent.V.NP.product.out_of.NP.material.for.NP.beneficiary,NP.OR..animate.machine..V.NP.PP.concrete.PP.OR..animate.organization.,NP.OR..animate.machine..V.NP.out_of.NP.concrete.for.NP.OR..animate.organization.,NP.agent.OR..animate.machine..V.NP.product.PP.material.concrete.PP.beneficiary.OR..animate.organization.
NP.agent.OR..animate.machine..V.NP.product.concrete,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.product,NP.agent.V.NP.product,NP.OR..animate.machine..V.NP.concrete,NP.OR..animate.machine..V.NP.concrete,NP.agent.OR..animate.machine..V.NP.product.concrete
NP.agent.OR..animate.machine..V.NP.product.concrete.for.NP.beneficiary.animate,NP.V.NP.PP.beneficiary,NP.V.NP.PP,NP.V.NP.for.NP,NP.agent.V.NP.product.PP.beneficiary,NP.agent.V.NP.product.for.NP.beneficiary,NP.OR..animate.machine..V.NP.concrete.PP.animate,NP.OR..animate.machine..V.NP.concrete.for.NP.animate,NP.agent.OR..animate.machine..V.NP.product.concrete.PP.beneficiary.animate
NP.agent.OR..animate.machine..V.NP.result,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.result,NP.agent.V.NP.result,NP.OR..animate.machine..V.NP,NP.OR..animate.machine..V.NP,NP.agent.OR..animate.machine..V.NP.result
NP.agent.OR..animate.machine..V.NP.result.as.NP.attribute,NP.V.NP.PP.attribute,NP.V.NP.PP,NP.V.NP.as.NP,NP.agent.V.NP.result.PP.attribute,NP.agent.V.NP.result.as.NP.attribute,NP.OR..animate.machine..V.NP.PP,NP.OR..animate.machine..V.NP.as.NP,NP.agent.OR..animate.machine..V.NP.result.PP.attribute
NP.agent.OR..animate.machine..V.NP.result.for.NP.beneficiary.animate,NP.V.NP.PP.beneficiary,NP.V.NP.PP,NP.V.NP.for.NP,NP.agent.V.NP.result.PP.beneficiary,NP.agent.V.NP.result.for.NP.beneficiary,NP.OR..animate.machine..V.NP.PP.animate,NP.OR..animate.machine..V.NP.for.NP.animate,NP.agent.OR..animate.machine..V.NP.result.PP.beneficiary.animate
NP.agent.OR..animate.machine..V.NP.result.from.NP.material,NP.V.NP.PP.material,NP.V.NP.PP,NP.V.NP.from.NP,NP.agent.V.NP.result.PP.material,NP.agent.V.NP.result.from.NP.material,NP.OR..animate.machine..V.NP.PP,NP.OR..animate.machine..V.NP.from.NP,NP.agent.OR..animate.machine..V.NP.result.PP.material
NP.agent.OR..animate.machine..V.NP.result.out_of.NP.material,NP.V.NP.PP.material,NP.V.NP.PP,NP.V.NP.out_of.NP,NP.agent.V.NP.result.PP.material,NP.agent.V.NP.result.out_of.NP.material,NP.OR..animate.machine..V.NP.PP,NP.OR..animate.machine..V.NP.out_of.NP,NP.agent.OR..animate.machine..V.NP.result.PP.material
NP.agent.OR..animate.machine..V.NP.theme,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.theme,NP.agent.V.NP.theme,NP.OR..animate.machine..V.NP,NP.OR..animate.machine..V.NP,NP.agent.OR..animate.machine..V.NP.theme
